old_indication;index;old_indication_normalized
genitourinary system diseases;8374;cvd msd ad pd ed
"genitourinary syndrome of menopause; vasomotor symptoms";8375;"gsm; symptoms"
"genitourinary syndrome of menopause; vaginal dryness";8376;"gsm; atrophy"
"genitourinary syndrome of menopause; vaginal atrophy";8377;"gsm; atrophy"
genitourinary syndrome of menopause;8378;gsm
genital tract and pelvic infection following incomplete spontaneous abortion;8379;pelvic pain
genital prolapse;8380;genital warts
"generalized peritonitis; medical and surgical; other and unspecified intestinal obstruction; perforation of intestine nontraumatic; postprocedural intestinal obstruction";8381;"peritonitis; ssi; nervousmusculoskeletal symptoms
maternal conditions
general symptoms
anklefoot; tympanic membrane perforation; intmalabs"
generalized peritonitis;8382;peritonitis
generalized periodontitis;8383;periodontitis
generalized hyperhidrosis;8384;peritonitis
generalized gingivitis;8385;gingivitis
"generalized edema; sotha general oedema";8386;"edema; debility oedema wellbeing anesthetics intelligence"
generalised weakness;8387;icuaw
general wellbeing;8388;debility oedema wellbeing anesthetics intelligence
general symptoms and signs;8389;"nervousmusculoskeletal symptoms
maternal conditions
general symptoms
anklefoot"
"general surgery; gynaecology; urology; colorectal surgery";8390;"surgery; gynaecology; neurology; surgery"
general surgery;8391;surgery
"general power training; plyometric training";8392;"power; training"
"general debility; weak immunity";8393;"debility oedema wellbeing anesthetics intelligence; immunity"
general anesthetics;8394;debility oedema wellbeing anesthetics intelligence
general anesthetic drug adverse reaction;8395;anesthetic adverse reaction
general anesthesia-induced hemodynamic changes;8396;hemodynamic changes
"general anesthesia; sore throat; hoarseness";8397;"anesthesia; pts; hoarseness"
"general anesthesia; obesity";8398;"anesthesia; obesity"
"general anesthesia; endotracheal tube cuff pressure";8399;"anesthesia; endotracheal tube cuff pressure"
general anesthesia without intubation;8400;elective surgery
general anesthesia tracheal intubation;8401;elective surgery
general anesthesia surgeries;8402;anesthesia
general anesthesia sedation;8403;anesthesia
"general anesthesia induction; elderly patients";8404;"anesthesia; elderly"
general anesthesia induction and maintenance of elective short-term surgery;8405;teeth disorders musculoskeletal disorders edentulism eye disorders
general anesthesia induction;8406;anesthesia
general anesthesia for elective surgery;8407;elective surgery
general anesthesia for elderly patients;8408;elective surgery
general anesthesia efficacy and safety;8409;elective surgery
general anesthesia effects;8410;anesthesia
general anesthesia during surgeries;8411;anesthesia complications
general anesthesia during outpatient surgery;8412;anesthesia complications
general anesthesia and sedative and anxiolytic sedation;8413;elective surgery
general anaesthesia for laparoscopic cholecystectomy patients;8414;laparoscopic surgeries
general anaesthesia;8415;anaesthesia
genderdysforia;8416;genderdysforia
gender dysphoria;8417;gender dysphoria gender affirming mastectomy gender affirming surgery
gastroscopy patients;8418;critically ill pediatric hospitalized tracheostomy cirrhotic
gastrointestinal surgery;8419;surgery
gastrointestinal endoscopy;8420;gi endoscopy
gastroduodenitis;8421;gastroduodenitis
gastric ulcer, hyperacidity;8422;"adenocarcinoma; acidosis"
gastric tube placement;8423;adenocarcinoma
ganglion cysts;8424;jaw cysts jaw edentulous ganglion cysts jaw misalignment jaw cyst
ganglion cyst;8425;radicular cyst pilonidal cyst synovial cyst ganglion cyst radicular
ganglion;8426;ganglion
gallstones;8427;gallstones
"gallstone; intraoperative hemodynamics; postoperative cognitive function; elderly hypertensive patients; laparoscopic cholecystectomy; hypotension during anesthesia induction";8428;"gallstones; intraop hemodynamics; mci
cognitive impairment
renal impairment
cognitive decline; elderly; laparoscopic surgeries; anesthesia complications"
"gallstone stones; cholecystitis";8429;"gb stones; cholecystitis"
gallbladder stone surgery;8430;surgery
gallbladder stone disease;8431;ckd cad aki ed scd
gallbladder disease;8432;ckd cad aki ed scd
"gallbladder calculus; laparoscopic cholecystectomy pa";8433;"gallstone; laparoscopic surgeries"
"gallbladder calculus; cholecystitis";8434;"gallstone; cholecystitis"
gall bladder surgery;8435;surgery
gall bladder stone surgery;8436;post-op vomiting post-op analgesia tooth healing gall bladder surgery bone healing
gag reflex;8437;gag reflex
gadolinium deposition disease;8438;ckd cad aki ed scd
"g258- other specified extrapyramidal and movement disorders; pain; anxiety; quality of sleep; adls; quality of life";8439;"digestive diseases; pain; anxiety; osa; adls; qol gb disorders pulp necrosis gb calculus ureter calculus"
fxi;8440;fxi
furcation defects;8441;defects
funnel chest;8442;chest ct
fungal otitis externa;8443;keratitis
fungal infection of ear;8444;obstetric wound infection
fungal ear infection;8445;uti
functional somatic disorder;8446;mdd bd aud oud asd
functional independence;8447;dentofacial abnormalities functional independence endoscopic sinus
functional endoscopic sinus surgery;8448;fess
functional endoscopic sinus;8449;dentofacial abnormalities functional independence endoscopic sinus
functional dyspepsia;8450;dyspepsia
functional capacity evaluation;8451;dentofacial abnormalities functional independence endoscopic sinus
functional ankle joint instability;8452;distal radioulnar joint instability ankle joint instability
functional ankle instability;8453;ankle sprain
"full-term uncomplicated delivery; pregnancy";8454;"ftud; pregnancy"
"full-term uncomplicated delivery; blood loss on labor";8455;"ftud; surgical blood loss"
full-term uncomplicated delivery;8456;ftud
full coronal restoration for primary molars;8457;primary molar extraction
fsgs;8458;fsgs
"frozen shoulder; rotator cuff tear; adhesive capsulitis";8459;"shoulder injuries; rotator cuff tear; frozen shoulder"
"frozen shoulder; muscle disorder";8460;"shoulder injuries; mdd bd aud oud asd"
"frozen shoulder; adhesive capsulitis of shoulder";8461;"shoulder injuries; frozen shoulder"
frozen embryo transfer;8462;shoulder injuries
fresh wound;8463;wound
"frailty; senile weakness syndrome of kidney essence deficiency";8464;"frailty; gsm"
"frailty; pain";8465;"frailty; pain"
"frailty; muscle weakness; physical dependence; weight loss";8466;"frailty; muscle strength muscle weakness muscle mass muscle sprains muscle stiffness musclex; opioid dep nicotine dep opioid use alcohol dep methamphetamine dep; hl wl bl snhl hl"
"frailty; inflammation; immune system disorder";8467;"frailty; inflammation; mdd bd aud oud asd"
"frailty; inflammation";8468;"frailty; inflammation"
"frailty; functional mobility";8469;"frailty; mobility"
"frailty; falls";8470;"frailty; allergy"
"frailty; comorbidities";8471;"frailty; comorbidities"
"frailty; cognitive frailty";8472;"frailty; mci
cognitive impairment
renal impairment
cognitive decline"
frailty syndrome;8473;rds mets cad ibs rtis
frailty symptoms;8474;frailty
frailty status transition;8475;frailty
frailty management;8476;frailty
frailty level;8477;frailty
frailty;8478;frailty
fragility hip fractures;8479;fracture
"fragility fracture; bone mineral density; vertebral fracture assessment; ankle fracture";8480;"fracture; bone density; fracture; fracture"
fragility fracture;8481;fracture
"fractures; fusions";8482;"fractures; fusions"
fractures of other specified skull and facial bones;8483;teeth disorders musculoskeletal disorders edentulism eye disorders
fractures;8484;fractures
"fractured neck of femur; osteoarthritis";8485;"aquired deformities; oa"
"fracture; pain";8486;"fracture; pain"
"fracture; orthopedic surgeries";8487;"fracture; abd surgeries"
"fracture; lumbar disc herniation; shoulder joint injury";8488;"fracture; lumbar disc herniation; tbi"
"fracture; fracture";8489;"fracture; fracture"
fracture of upper limb;8490;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
fracture of upper end of tibia;8491;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
fracture of upper end of humerus;8492;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
fracture of unspecified skull and facial bones;8493;teeth disorders musculoskeletal disorders edentulism eye disorders
fracture of unspecified parts of lumbosacral spine and pelvis;8494;teeth disorders musculoskeletal disorders edentulism eye disorders
fracture of thigh bone pa;8495;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
fracture of thigh bone;8496;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
fracture of skull and facial bones;8497;teeth disorders musculoskeletal disorders edentulism eye disorders
fracture of shaft of tibia, appendicitis, cystitis, unilateral inguinal hernia;8498;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; appendicitis; cholecystitis; hernia"
fracture of shaft of tibia;8499;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
"fracture of shaft of radius; fracture of upper end of radius";8500;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx"
fracture of shaft of radius;8501;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
"fracture of shaft of humerus; fracture of upper end of ulna";8502;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx"
fracture of shaft of humerus;8503;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
"fracture of shaft of fibula; fracture of shaft of tibia";8504;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx"
fracture of second cervical vertebra;8505;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
"fracture of radius; fracture of ulna; open wound of forearm; upper limb surgery";8506;"qol gb disorders pulp necrosis gb calculus ureter calculus; qol gb disorders pulp necrosis gb calculus ureter calculus; obstetric wound infection; surgery"
fracture of posterior wall of acetabulum;8507;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
fracture of pelvis;8508;qol gb disorders pulp necrosis gb calculus ureter calculus
"fracture of patella; fracture of upper end of tibia";8509;"qol gb disorders pulp necrosis gb calculus ureter calculus; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx"
"fracture of patella; fracture of shaft of tibia; fracture of upper end of tibia";8510;"qol gb disorders pulp necrosis gb calculus ureter calculus; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx"
"fracture of neck; subluxation and dislocation of cervical vertebrae; traumatic rupture of cervical intervertebral disc";8511;"qol gb disorders pulp necrosis gb calculus ureter calculus; teeth disorders musculoskeletal disorders edentulism eye disorders; ivd disorders"
fracture of neck of femur;8512;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
"fracture of neck femur; osteonecrosis of the femoral head";8513;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; digestive diseases"
fracture of metatarsal bones;8514;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
fracture of medial malleolus;8515;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
"fracture of mandible; dentofacial functional abnormalities";8516;"qol gb disorders pulp necrosis gb calculus ureter calculus; dentofacial abnormalities functional independence endoscopic sinus"
fracture of mandible;8517;qol gb disorders pulp necrosis gb calculus ureter calculus
"fracture of malar; maxillary and zygoma bones";8518;"qol gb disorders pulp necrosis gb calculus ureter calculus; maxillary and zygoma bones mandibular and maxillary fractures three-walled or"
"fracture of malar, maxillary, and zygoma bones; fracture of mandible";8519;"qol gb disorders pulp necrosis gb calculus ureter calculus; maxillary sinus; ssi; qol gb disorders pulp necrosis gb calculus ureter calculus"
fracture of malar, maxillary, and zygoma bones;8520;"qol gb disorders pulp necrosis gb calculus ureter calculus; maxillary sinus; ssi"
fracture of lumbar vertebra, discitis, spondylolisthesis, fracture of thoracic vertebra;8521;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; discitis; degen spondylolisthesis; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx"
"fracture of lower end of tibia; other abnormalities of gait and mobility";8522;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; teeth disorders musculoskeletal disorders edentulism eye disorders"
"fracture of lower end of radius; carpal tunnel syndrome";8523;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; rds mets cad ibs rtis"
fracture of lower end of radius;8524;tibia shaft fx femur shaft fx radius end fx forearm fx leg fx
"fracture of lower end of humerus; fracture of lower end of radius; fracture of lower end of ulna; fracture of shaft of humerus; fracture of shaft of radius; fracture of shaft of ulna; fracture of uppe";8525;"tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; tibia shaft fx femur shaft fx radius end fx forearm fx leg fx; qol gb disorders pulp necrosis gb calculus ureter calculus"
